序號,標題,網址,留言者名稱,留言內容,留言時間,贊成論點/其他想法,贊成數量,反對數量
M-818,國高中上課時間改為10:00到16:00，避免慢性睡眠剝奪導致學生憂鬱、自傷自殺風險提升。,/idea/detail/45e4b677-19d5-4b48-b1da-1afe3000a878,阿農,"理解版主以改善學生學習與休息品質為出發點，但此方法治標不治本。簡單來說，若學生在學習與生活之間時間安排得當，不論何時開始上課，對學生而言都無所謂；反之，若學生的時間安排不適宜（如補習繁重、課業壓力、作息不正常等等），即使是下午開始上課，對學生的生活品質也未必會改善。

目前大眾普遍認同的癥結點在於，台灣整體的教育制度與相關政策規劃有問題，例如：學習歷程檔案、部分學校的選修課程、適性發展受限、安排不當的多元課程等等。

在校上課時間的確可以研議改動，但不是以睡眠品質如此單調拙劣的理由為出發點；相反地，應該以學生個人發展與交通便利性為主要目的來改動。例如：提前放學時間，讓學生有機會可以多參與社團活動或安排個人時間、少量延後上課時間，讓居住較遠的學生有更多交通上的彈性。

教育改革非一步登天，尤其舊時代觀念對現時影響深遠，年輕世代需要更歡迎大家的聲音與意見，並且努力爭取權益，環境才會越來越好。",2025-09-15 09:19:23,贊成論點,0,0
M-828,國高中上課時間改為10:00到16:00，避免慢性睡眠剝奪導致學生憂鬱、自傷自殺風險提升。,/idea/detail/45e4b677-19d5-4b48-b1da-1afe3000a878,zooey,"1.支持晚一點上課（真的從小長期睡眠不足）
2.多元課程建議改為選修
3.傳統考科建議減少堂數，會學的人就會去練習，學不來的人拉長堂數還不如自己找出問題再去問，不需要配很長課程時間等所有人跟上",2025-09-15 09:37:11,其他想法,1,0
M-832,國高中上課時間改為10:00到16:00，避免慢性睡眠剝奪導致學生憂鬱、自傷自殺風險提升。,/idea/detail/45e4b677-19d5-4b48-b1da-1afe3000a878,邱,"我覺得改成8點到16點放學，這樣比較合理.
有些多元課程，因為授課老師不是專業的，徵不到專業老師，但不得接受學校編排課程，常常導致無法能正常上課，但期末又編排考試測驗，這不是在變相在考驗學生.
有些課程幾乎可以用選修，卻壓縮在非必要的時間，導致有些課程老師一直被逼著趕課.這個問題存在已久，為何找不出方案.
請教育部在實施多元課程規劃，要把完善師資培訓完成吧！
有些非專業的，因找不到在校老師拼拼湊湊的來授課，期末還要藝能測驗，這是有比較好嗎？",2025-09-15 09:40:33,其他想法,1,0
M-839,國高中上課時間改為10:00到16:00，避免慢性睡眠剝奪導致學生憂鬱、自傷自殺風險提升。,/idea/detail/45e4b677-19d5-4b48-b1da-1afe3000a878,本人高二,不懂為什麼要用這麼冠冕堂皇的理由合理化自己熬夜 用補習補太晚當藉口的真的就不要補習了 如果你爸媽逼你去補習 那根本不是幾點上課的問題 以後10.上課補習班就會開7.30-9.30的早班了 所以真的別傻 你要熬夜玩手機還想睡到自然醒 到學校還要抱怨怎麼全天都是國英數自社 只有休學能滿足你了 你們所謂的廢課也是幾年前別人爭取來的 一邊吵著要多元升學一邊說要把這些課拿掉 怎麼都是同一群人在講 底下一口一個台灣教育體制怎樣怎樣 笑死體制爛跟你熬夜有什麼關連？假如10.上課一堆人就熬到3.4.而已啊 講一堆什麼跟歐美看齊的話 啊上歐美的課你們又說廢課 拜託休學辦一辦,2025-09-15 10:02:14,其他想法,3,1
M-850,國高中上課時間改為10:00到16:00，避免慢性睡眠剝奪導致學生憂鬱、自傷自殺風險提升。,/idea/detail/45e4b677-19d5-4b48-b1da-1afe3000a878,高中生,"（1）其實到大學之後也會有必修課8:00上課，難不成你也要叫學校把早八通通砍掉？甚至有些課也是上到下午5:00，你也不要上？你們說把早上多出來的2小時和下午多出來的1小時拿去個人興趣探索、製作學習歷程、進行社交活動、專心讀書學習，你們還不是需要早起做這些事，睡眠一樣不足啊，如果你們是為了多休息、多睡會，你們就不會特別早起做這些事了，會選擇躺在床上睡覺休息吧，這樣才是真正的休息不是嗎？

（2）高中的課業真的很多很繁雜，如果把非必要多元課程拔掉（第二外語、多元選修），甚至家政、美術、音樂等等，你的課表只剩下學測會考的科目，你會更憂鬱，你的課表沒有值得期待的課，例如這節上完數學，下節美術課可以放鬆一下，現在這堂課再撐一下就過去了，大家如果一到五每天每一節上的都是沈悶需要動腦的課，很累，連上兩節學測科目（國英數物化）就不行的人，就不要附議了吧

台灣的上課時長真的很長，學測考試範圍也不會為了符合這個上課時間而去刪減上課內容，這不可能，除非課綱真的能改，而且多出來的那三小時，全台高中生都能保證這些時間他們能有效運用嗎？你們真的不會浪費這個時間？你們想要改變環境就請想出相對應的配套措施。",2025-09-15 10:50:48,其他想法,1,0
M-872,國高中上課時間改為10:00到16:00，避免慢性睡眠剝奪導致學生憂鬱、自傷自殺風險提升。,/idea/detail/45e4b677-19d5-4b48-b1da-1afe3000a878,西瓜,"身為學生，我認為改成這樣並不會真的很好，廢除多元課程等於把我能放鬆的課程拿掉，你們討厭的國、英、數還是會有，雖然我才國中，但我讀的是私校我們早上一堂課50分鐘，下午45分鐘，每天都有第8節40分鐘，而且我們午休30分鐘吃飯20分鐘？晚自習吃飯也20分鐘還要排隊根本剩10分鐘能吃。我們的多元課程真的有上到的課只有音樂、科學、電腦和社團。你們覺得拿掉這些真的會更好嗎，私校上的東西都很注重這些，如果真的要改，就改成8點到校8點20上課,4點半放學。多元課程移除真的會好嗎，現在科技很發達把藝能科那掉，以後的小孩怎麼辦？告訴我，音樂在生活中不會碰到嗎？所以說真正要改的，不是上課時間，而是上課內容和上課方式，如果改了時間廢除多元課程，也不一定會變好，週末回家之後想到星期一又要去學校，上不喜歡的課程，那這樣不是也一樣嗎？
我希望能把改善方式私立、公立統一改成，8點到校8：30上課午休+吃飯一起至少要80分鐘，4點30放學。然後課程可以平均嗎？真的好好檢查一下一些私校的課表，建議國語上基本的就好，我出社會對話也不會用到文言文剛文史我講話也不會用成語，出社會買東西也不會用到數學解方程式（但個人覺得數學如果是喜歡科技類還是要認真學）至於英文我是覺得蠻重要的。社會科的課程本來就很少了，我也覺得還可以，音樂跟社團這人覺得還是要上因為音樂算重要、社團就是人與人之間能和同興趣的人認識，電腦還有美術，我覺得能改成自己決定要不要上，不要上的就讓學校自己用另外活動。",2025-09-15 12:02:46,贊成論點,1,0
M-890,國高中上課時間改為10:00到16:00，避免慢性睡眠剝奪導致學生憂鬱、自傷自殺風險提升。,/idea/detail/45e4b677-19d5-4b48-b1da-1afe3000a878,chi,"1.多元課程不多元，學生不喜歡照樣把學生綁在學校，雖然主科佔比最多啦笑死，副課我想很多人也在乎，都在做自己的事哈哈😆，反正對考大學也沒什麼用。
2.考試壓力照樣大，在家讀書遇到不懂的就是需要花很多時間去思考，你學校課排那麼滿，下課十分鐘有多少人可以去跟老師討論問問題？我是挺好奇私校上到晚上九點、假日去學校的學習效果有多好，這些時段的師資是否有跟上？
3.學習歷程很麻煩，大家都乖乖讀書學習歷程都馬差不多，有料的還可以參加個科展，請問這種人有多少？
4.出了社會更慘，就算有些學生從小就很叛逆，不聽爸媽老師的話偏要脫離社會主流的價值觀去讀自己喜歡的科系，畢業後的現實就是：台灣只注重理科，其他行業多落魄我不描述了，新聞都有哈哈🥹。我想更多的人在高中畢業前連自己熱愛的事情都找不到吧&hellip;畢竟多元課程還沒有主科多元啊&hellip;
5.小孩們，出社會後最難得的就是保持初心，你們現在最珍貴的就是天馬行空的創意且對任何事物都保有觀察的好奇心，心情會覺得憂鬱，覺得人生沒有意義並不是你們的錯，是目前的社會環境真的無法給人希望，上世紀50、60年代同樣也發生過，有很多的學生與工人站出來表達自己的訴求，當然也免不了抹黑的聲音，但也確實推動了社會的變革，希望你們不要聽信網路上的酸言酸語讓自己陷入自我懷疑，畢竟你們吵的再大聲，我們這些麻木的大人是可以「假裝沒聽見」的，我相信很多人的爸媽也是如此吧，但這個世界上，或許就在台灣，我相信肯定是有人支持你們的。
6.記住，你們提的不是單純向大人們提出索取的要求，而是提出改變制度以反抗壓迫的訴求，有位智者說過：「哪裡有壓迫，哪裡就有反抗」，反抗並非空洞的情緒，而是來自具體的經驗，我相信你們對未來的想像絕對不是陷入人生是毫無意義的虛無，整天只想著如何死去才不痛苦之類的事，既然人總有一天會死，那麼你在死前所做的事，不管偉大還是渺小，他就是有意義的，假如你沒出生的話，這些事也就不會發生，正是因為你們出生在了這個世界上，未來才有機會被你們所改變。
7.剩下的我不知道要說什麼了，或許你們可以跟ChatGPT 討論可以怎麼做哈哈哈，加油👏",2025-09-15 12:46:23,其他想法,1,0
M-891,國高中上課時間改為10:00到16:00，避免慢性睡眠剝奪導致學生憂鬱、自傷自殺風險提升。,/idea/detail/45e4b677-19d5-4b48-b1da-1afe3000a878,詹義盛,"這提案應該沒辦法解決問題，要解決問題的方式應該是從教育體制、授課內容、社會風氣改起，現在的提案單純縮短時間，可能只是把要在學校教的改到補習班教，這樣真的有解決提案人想解決的問題嗎？
另外有關於多元選修和學習歷程，我認為不是它們不好，而且台灣社會還沒準備好實施它們。",2025-09-15 12:46:27,其他想法,0,0
M-897,國高中上課時間改為10:00到16:00，避免慢性睡眠剝奪導致學生憂鬱、自傷自殺風險提升。,/idea/detail/45e4b677-19d5-4b48-b1da-1afe3000a878,演寧,"個人認為
1. 10:00是真的太晚(或許折衷9:00會比較剛好)，
但也要同時調整下課及午休時間長度
2.而多元課程是在培養學生跨領域的能力與興趣
我覺得可以增進自我發展、自信心
(有一部份是因為各種原因，選課時沒選到適合自己或感興趣的選修課，所以覺得選修課浪費時間吧..)
3.目前導致青少年憂鬱症、自傷自殘、拒學等原因，最主要社群平台的濫用
舉例:平日的小口角在放學後沒有停止，而是在IG限時動態和Threads上蔓延至第二天到校.....
及抖音、小紅書內容對靠腦部刺激性過強，導致學校老師上課內容難以讓學生感興趣
(如果想要效仿國外的上課時數，不妨效仿美國學生到校打卡時防盜袋同時鎖上手機)
4.相對的學校課綱也要跟著做調整",2025-09-15 13:14:53,贊成論點,0,1
M-944,國高中上課時間改為10:00到16:00，避免慢性睡眠剝奪導致學生憂鬱、自傷自殺風險提升。,/idea/detail/45e4b677-19d5-4b48-b1da-1afe3000a878,siorai,"1.多元課程的存在我認為是必要的 這些多元課程也是能讓學生培養興趣或必要知識的管道
2.參考國外上課時間6-7小時為主 我認為應該改成8:30到14:00
3.對都會區來說學生通勤確實很方便 但同時也得考慮一些交通不方便的地區 對這些人來說他們可能最後還是會在7點的時候就被家長送到學校 因為家長不放心讓他們騎車
4.台灣的問題在第八節與補習班的存在 花在讀書的時間上也只會從8:00變成10:00到20:00而已 學生的自由時間還是可憐得離譜
5.最終的問題還是要回歸整個體制面 簡單來說就是4個面向
一.大幅減少補習班的重要性 讓上補習班的四個小時變成學生的自由支配時間
二.廢除第八節 減少整體上課時間
三.大幅改革課綱與教學方式 不著重在進度的速度而是在學生能真正理解課程上|
四.為交通不變的地區想出多種解決方式滿足不同情況的家庭的需求",2025-09-15 15:48:17,贊成論點,0,0
M-966,國高中上課時間改為10:00到16:00，避免慢性睡眠剝奪導致學生憂鬱、自傷自殺風險提升。,/idea/detail/45e4b677-19d5-4b48-b1da-1afe3000a878,好奇,我覺得就算要縮短也不能只刪多元課吧 現在學得很多以後都用不到 把課綱改一改自然就會減少上課時間了,2025-09-15 17:07:47,其他想法,1,0
M-981,國高中上課時間改為10:00到16:00，避免慢性睡眠剝奪導致學生憂鬱、自傷自殺風險提升。,/idea/detail/45e4b677-19d5-4b48-b1da-1afe3000a878,,"你把多元課程移掉還說想要探索
邏輯說不通吧
應該要先改教育體制
把升學取向的體制改善（壓力來源）
最後才是改上課時間
先提這個真的太急了",2025-09-15 17:36:14,贊成論點,0,0
M-991,國高中上課時間改為10:00到16:00，避免慢性睡眠剝奪導致學生憂鬱、自傷自殺風險提升。,/idea/detail/45e4b677-19d5-4b48-b1da-1afe3000a878,你好👋,"其實從這個議題引發的正反兩方的意見可以發現一些問題：
1.台灣教育制度：不僅要學生課業一把抓 還要發展多元興趣（相信大家基本上都是一般人 光是課業就要花很多時間了 再多個多元學習 學習歷程假日都會被犧牲掉 ）

2.私立國高中無法嚴格執行目前政策：有些私立國高中還是會要求學生必須在6:00-7:30到校 晚上除了第八節還有第九節甚至有些學校的精英班必須上到第10節  甚至有些學校會把所謂的社團時間拿去上課

3.台灣教育風氣的問題：大部分家長希望自己家的孩子成績好 所以會把小孩送到補習班導致就算改了下課時間 但學生的學習時間還是沒有變化

4.課綱修改有問題：現行的課綱雖然比以前的內容少很多 但還是有些部分讓學生難以讀懂 （而且我並不贊成刪掉藝能課 藝能課還是對學生有幫助的）

5.世代之間的觀念差異：我相信會有一些出社會的人覺得現在學生過的太幸福了 比起自己以前的狀況已經好很多了  而且晚上課會有人更晚睡 把時間拿去追劇玩遊戲 所以認為學校規定早到是培養自律的方式 但對於現在的學生 我們接觸的資訊也變得更多 那我們也會思考為什麼偏偏是我們國家的上課時間那麼多 是不是有更有效率的解決方法 而不是一味地要求學生早到 而且自律不是一定要要求學生早到 自律本就是自己要求自己 學校或許只是間接輔助而已

最後想最後提自己的想法 每個人的意見本就不一樣 我們應該要把學習的環境打造的更好 而不是繼續這樣下去 所以我希望大家能理性的討論而不是出言嘲諷或是感情用事 也請不要再說我們學生是爛草莓之類的話了 這其實非常侮辱學生 並不是所有學生都這樣 也是有那種努力的學生 我們不是不想讀 只是想改變現狀 我也不覺得這個提案很蠢 這反而提醒我們現行的教育制度是有改善空間的

&hellip;.如有更多 希望有人能幫我補充",2025-09-15 18:03:08,其他想法,1,0
M-1003,國高中上課時間改為10:00到16:00，避免慢性睡眠剝奪導致學生憂鬱、自傷自殺風險提升。,/idea/detail/45e4b677-19d5-4b48-b1da-1afe3000a878,好奇,10點到4點太晚了 放學後可能還要去補習班 待的時間甚至等於在學校的時間 常常10點、11點才到家 都說11點前睡覺對發育好 卻可以為了課業而熬夜 我覺得可以改8:30到2:30 晚睡晚起不如早睡早起 重要的是課綱 讀書一定是唯一的出入嗎 現在什麼時代 真的不能只會讀書 建議壓縮課綱 增加多元課,2025-09-15 18:28:32,其他想法,1,0
M-1017,國高中上課時間改為10:00到16:00，避免慢性睡眠剝奪導致學生憂鬱、自傷自殺風險提升。,/idea/detail/45e4b677-19d5-4b48-b1da-1afe3000a878,Aleyna,"&bull;	作息與時間分配：西方學校普遍重視睡眠與課後自由時間，課表安排較強調平衡；台灣課時與補習文化使學生可支配時間被壓縮。
	&bull;	教學目標與方法：西方課程常強調批判性思考、專題、協作與實作；台灣依賴大量記憶型教學與考試導向評量。
	&bull;	評量與升學路徑：西方教育提供多元評量與職涯/技職選項，升學壓力雖存在但路徑較分散；台灣的升學型選拔把大量壓力集中在少數重要考試上。
	&bull;	學生身心影響：西方體系較著重心理健康與體育、減少過度負荷；台灣長期高負荷容易造成睡眠不足、焦慮與學習動機受損。
	&bull;	家長與社會期待：西方多數家長會把休息與興趣視為學習效率的一部分；台灣部分家長基於「吃過的苦孩子也該吃」的社會文化，傾向以壓力為教育手段。

給家長與政策制定者的理性建議
	&bull;	硬性推動合理校時與作業量，讓學生有足夠睡眠與自我發展時間。
	&bull;	增加教學方法多樣性（專題、合作、實作），減少單一標準化考試的絕對權重。
	&bull;	建立明確的心理健康與諮商資源，並在學校日常中落實。
	&bull;	向家長說明：休息與興趣不是「放縱」，而是提高學習效率與長期競爭力的投資。

簡短結論：從美國／歐洲的角度看，教育的核心不是把學生磨成「能撐的機器」，而是讓他們有健康的身心、批判與創造力。台灣若想縮小差距，需要系統性地在作息、課程與評量上做改變，而非僅靠個別家庭的努力。",2025-09-15 18:58:11,贊成論點,1,0
M-1020,國高中上課時間改為10:00到16:00，避免慢性睡眠剝奪導致學生憂鬱、自傷自殺風險提升。,/idea/detail/45e4b677-19d5-4b48-b1da-1afe3000a878,,"現在已經延到早上8點上課了
高中可能會有住比較遠要通勤的狀況
但學校也是自己的選擇的
學習團體生活要學會配合
下午四點放學其實還是有時間可以玩社團之類的
如果要移除多元課程 反而是學習歷程會少很多寫多元表現的機會喔
在網路上有看到說假日還要上課或四點後還要上課之類的那也是家長報的補習班或學校有簽過同意書的課後班吧
但那是你們家的決定 
如果是因為這些導致晚回家睡眠不足而去犧牲掉學校全臺學生共同的上課時間的話 蠻不合理的",2025-09-15 19:09:46,贊成論點,2,0
M-1026,國高中上課時間改為10:00到16:00，避免慢性睡眠剝奪導致學生憂鬱、自傷自殺風險提升。,/idea/detail/45e4b677-19d5-4b48-b1da-1afe3000a878,小p,我覺得多元課程不要全部刪除吧 那些課很多都可以拿來放鬆 不用一直聚精會神的學主科 而且改時間 學校可能又會加一堆輔導課 之前說的早自修不能考試還不是照樣考 輔導課不強制還不是一樣壓迫性的強制 所以說根本不是改不改時間的問題,2025-09-15 19:29:58,其他想法,1,0
M-1038,國高中上課時間改為10:00到16:00，避免慢性睡眠剝奪導致學生憂鬱、自傷自殺風險提升。,/idea/detail/45e4b677-19d5-4b48-b1da-1afe3000a878,高中生政策關心者,"1、成年人上班時間幾點？
2、你有實際數據顯示憂鬱症、自殺自傷跟上課時間有關嗎？
3、台灣現階段問題並非上課時間過長，而是教師人數過於不足。
4、上課時間更長的是私立學校（住宿型學校，例如慧燈中學最扯）你提的案子能改變的只有公立學校，但上課時間最長的卻是私立學校。
5、真正會拉長放學時間的是社團練習，與上課時間毫無關係。
6、現在有許多學校已經增加了許多多元選修、自主學習、彈性課程等較為輕鬆的課程，如果縮短上課時間，就等於這些課程會被刪除掉，就會變成一整天可能都是主科課程，壓力反而會更大。
7、有許多學生現在都不是選擇就近就學，所以會有搭乘公車的需求，但是有許多號公車皆是屬於上下學（班）的專車（台北欣欣客運294路線），這會影響到該公車司機的排班問題。
8、廢除早自習一案，已經縮短了許多學生的自習時間，現在又要再縮短上課時間，不是更容易導致學生荒廢課業嗎？已有許多老師不斷地抱怨學生的知識量，一年不如一年，這不是在降低全國知識水平嗎？
9、仍要強調，本人正式一名某高中的高一學生，以上言論皆屬個人想法，若有其他國高中生的想法，也歡迎提出！！！",2025-09-15 19:44:21,贊成論點,0,0
M-1089,國高中上課時間改為10:00到16:00，避免慢性睡眠剝奪導致學生憂鬱、自傷自殺風險提升。,/idea/detail/45e4b677-19d5-4b48-b1da-1afe3000a878,野獸先輩,雲林縣國高中現今的上課時段從早上7:40到下午4點，還要參加半強迫性的第八節課輔和週六課輔(因為這段時間會上進度內容，沒參加等於一周少上五節正課，如果當周有週六課輔會再少4節)，直接拖到5點才放學，回家還要補習2個小時跟寫作業，想睡滿8個小時真正留下來的休息娛樂時間寥寥無幾，晚上課相當於我們擁有更多的娛樂時間，不論是晚點睡晚點起或早點睡早點起，這對於身心的放鬆是有很大的幫助的，但延後上課又是否會因此產生早上的補習時段，所以我認為修改上課時段是其一，更重要的是改變台灣現今教育制度下培養出的考試機器，而與探索自我、多元發展的理念背道而馳。,2025-09-15 22:34:51,其他想法,1,0
M-1095,國高中上課時間改為10:00到16:00，避免慢性睡眠剝奪導致學生憂鬱、自傷自殺風險提升。,/idea/detail/45e4b677-19d5-4b48-b1da-1afe3000a878,玉婷,對於「廢除非必要多元課程」這點，我反而認為藝能科要好好教（要聘專任老師、不能借課），因為那是日常生活中會用到的知識或技能。,2025-09-15 22:44:45,贊成論點,0,0
M-1109,國高中上課時間改為10:00到16:00，避免慢性睡眠剝奪導致學生憂鬱、自傷自殺風險提升。,/idea/detail/45e4b677-19d5-4b48-b1da-1afe3000a878,C,"1. 很多人都在說日本跟美國的上課時間。你們沒看到的是他們的課後活動。他們早放是提供給課後行動做使用的。
真正該關心的是所謂的多元學習。台灣離不開傳統文化，給你多早放都是去補習班，講再多都是升學。把課刪減並不能起到效果。
2. 以教育角度下去，學校是要教你知識沒錯，但學校更重要的是讓學生學習在什麼時間點做什麼事。總不可能公司規定8點上班然後你都起不來所以不做了吧。說甚麼不行就離職的不知道是不是看太多電視劇了。你如果有足夠實力改變世界，讓大家配合你，那沒問題。如果沒那實力，那就是要遵守規則。
3. 還有人說考證照浪費時間，老師知道自己在教的東西沒有用，所以隨便教而已。想請教是哪間學校，幫大家避雷。台灣現在是證照帝國，不管你想不想，要當會計師需要證照，要當什麼行業基本上都要證照。所以我不確定在這位同學眼中浪費時間跟沒有用的定義是什麼。我們之前在高中考證照要留到8-9點。是很浪費時間，但確實在日後工作時不需要再多花時間去準備這些證照。
我覺得一直拿台灣和美國比很沒必要，台灣就算到社會也是注重證照。美國在面試時通常都很專注在經歷。在社會風氣上就差很多了。",2025-09-15 23:21:54,贊成論點,2,0
M-1117,國高中上課時間改為10:00到16:00，避免慢性睡眠剝奪導致學生憂鬱、自傷自殺風險提升。,/idea/detail/45e4b677-19d5-4b48-b1da-1afe3000a878,昂,每天少了2小時的課，一學期的進度確定上得完？不應該是減少上課時間，而是減少課綱的內容。雖然多數人認為多元課程沒有存在的必要，但是一個禮拜少了10節的多元課程並不會比較輕鬆，反而會每天處在一個很高壓的環境學習，這樣的一個學習環境反而有可能會更差。,2025-09-16 00:36:59,贊成論點,2,0
M-1137,國高中上課時間改為10:00到16:00，避免慢性睡眠剝奪導致學生憂鬱、自傷自殺風險提升。,/idea/detail/45e4b677-19d5-4b48-b1da-1afe3000a878,YehZACK,我認為把國高中上課時間延到上午10點，並不會實質改善學生的睡眠品質、學習效率或精神狀態，因為晚點上課不代表學生會提早睡覺，通常只是作息往後延，效果有限；而且這樣的調整會牽動整個108課綱，需要全面重新編排，我建議在內容上應該保留多元學習的部分，但去掉學習歷程檔案，減輕學生的負擔；至於上課時段，我認為更合理的方案是早上8點上課，下午2點或3點放學，這樣既能維持早起習慣，又能讓學生有更多自由安排社團活動、休息或自我發展的時間。,2025-09-16 06:53:38,贊成論點,1,0
M-1148,國高中上課時間改為10:00到16:00，避免慢性睡眠剝奪導致學生憂鬱、自傷自殺風險提升。,/idea/detail/45e4b677-19d5-4b48-b1da-1afe3000a878,OH桑,可以不用全部移除多元課程，但希望能消減做報告的量,2025-09-16 08:07:18,贊成論點,1,0
M-1197,國高中上課時間改為10:00到16:00，避免慢性睡眠剝奪導致學生憂鬱、自傷自殺風險提升。,/idea/detail/45e4b677-19d5-4b48-b1da-1afe3000a878,高三生,"我是一名高三生，我贊成上課時間改為10:00-16:00。
面臨即將到來的學測，我需要更多自修時間，如果能壓縮某些老師上課「講笑話」、「閒聊」的時間，讓課堂數不能隨意揮霍（我已經受夠一週6節有化學課卻在聽他的黃色笑話和人生故事），絕對能讓時間利用更有效率。
再者，我高中最後悔難過的事，就是沒有時間去做我想做的事。從高一開始我們班就必須參加第八節輔導課、晚自習、週六輔導課⋯⋯。教授們想看到我們的多元學習，但我們卻苦於根本沒有時間。
不過可笑的是，第八節輔導課同意書，我們學校只能勾同意，不然就會錯過進度。所以新政策就算上路，在某些學校可能還是難行。不過我認為，壓縮時間、提高效率，絕對比混水摸魚更好⋯",2025-09-16 14:43:15,其他想法,2,0
M-1206,國高中上課時間改為10:00到16:00，避免慢性睡眠剝奪導致學生憂鬱、自傷自殺風險提升。,/idea/detail/45e4b677-19d5-4b48-b1da-1afe3000a878,鹹蛋黃,如果國高中上課時間延後，家長要上班怎麼接送?是否變成早上7點半先送去補習班上課呢?或是家長也一起改十點上班?還有眾多因素可以討論，我認為多元課程刪掉不是好事，不是所有學生家裡經濟狀況好可以去外面學美術、學音樂。,2025-09-16 16:06:52,贊成論點,0,1
M-1207,國高中上課時間改為10:00到16:00，避免慢性睡眠剝奪導致學生憂鬱、自傷自殺風險提升。,/idea/detail/45e4b677-19d5-4b48-b1da-1afe3000a878,林老師,縮短國高中生上課時間，讓現代多元時代學生更能得以思考，藝能科可以在社團課實施!,2025-09-16 16:10:11,其他想法,1,0
M-1223,國高中上課時間改為10:00到16:00，避免慢性睡眠剝奪導致學生憂鬱、自傷自殺風險提升。,/idea/detail/45e4b677-19d5-4b48-b1da-1afe3000a878,,"等等
首先第一：改為10點上課 本就是因為要讓那些9點下課的人多睡一點 我們不還是一樣4點補習嗎？
第二：可以申請交通補助啊 這樣子每天搭計程車上學不成問題🙂&zwj;↕️
第三：我們可以讓學生投票決定 哪些多元課程刪除 哪些不刪 且讓學生提出原因這樣學生不會覺得可惜 也有理由告訴老師
第四：我們理解老師排課有其限制，但學生的真實需求（睡眠、身心健康、學習效率）也應被重視
我覺得我們小孩子雖然做這個大人會覺得沒有用 可是我們平常真的睡不飽😭為什麼我們提出的意見不能被重視呢‼️不要跟我說教育部會直接說內部投票不合格",2025-09-16 18:40:04,其他想法,2,0
M-1255,國高中上課時間改為10:00到16:00，避免慢性睡眠剝奪導致學生憂鬱、自傷自殺風險提升。,/idea/detail/45e4b677-19d5-4b48-b1da-1afe3000a878,,我是國中生 十點才上課的話只上一節課就要吃午餐的意義在哪裡？ 這樣子知識也沒辦法吸收得完整 而且這樣就沒有多元課程只剩考科 學習也會變的乏味 就算通過了 補習班也不就更好賺錢嗎？開了一個早上七點的班我們這些學生為了能考上更好的學校也還是會去（不然就是家長希望的） 我覺得十點到四點有點太誇張 可能可以十點上學然後六點放學並刪除第八節之類的  或可以刪除早自習時間 因為很多老師都會仗著「練習」的名義去考試（有登記成績的那種）讓我一早就壓力很大 而且說真的 現在很多學生都補習補到晚上九點 加上回家要寫功課 洗澡 根本沒辦法睡到八個小時 雖然老師們都宣導要早睡早起多運動 但是我們根本沒有時間可以做到⋯,2025-09-16 22:09:41,贊成論點,2,0
M-1270,國高中上課時間改為10:00到16:00，避免慢性睡眠剝奪導致學生憂鬱、自傷自殺風險提升。,/idea/detail/45e4b677-19d5-4b48-b1da-1afe3000a878,高二生,"我覺得可以修 但是畢竟課都已經上不完了 而且現在國定假日都有放假 一堆老師課直接被放掉 總不能讓老師又把時間縮短吧 所以我覺得該廢除的 應該是多元選修 學習歷程 自主學習 
把這些課跟這些東西廢掉 不僅可以減少學生壓力 老師跟學生也能互相配合 學生多花些時間在必要的事情上 而不是一直在用多元選修 學習歷程 自主學習上面",2025-09-16 23:25:16,其他想法,0,0
M-1292,國高中上課時間改為10:00到16:00，避免慢性睡眠剝奪導致學生憂鬱、自傷自殺風險提升。,/idea/detail/45e4b677-19d5-4b48-b1da-1afe3000a878,私中是垃圾,建議把多元課程都刪掉 不是講一堆廢話就是喊口號 浪費時間 笑死人,2025-09-17 06:51:32,其他想法,1,0
M-1300,國高中上課時間改為10:00到16:00，避免慢性睡眠剝奪導致學生憂鬱、自傷自殺風險提升。,/idea/detail/45e4b677-19d5-4b48-b1da-1afe3000a878,momo,"本人持反對意見
1.關聯性問題： 上放學時間並非學生睡眠不足主因，過度的補習和缺乏自控力的使用電子産品有更加直接的影響

2. 教育公平問題：現行多元選修的開課要求保障偏鄉及弱勢學生接觸多元學習內容的管道，探索興趣及促進多元能力發展。若取消多元選修，對於中高社經背景的學生或許有其他校外資源支持探索發展興趣，但偏鄉弱勢學生無此資源，此舉將造成更嚴重的城鄉差距

3. 針對少數有強烈興趣趨向的學生已有自學方案可以使用：以教育現場來看，有明確且強烈的生涯規劃目標的學生是少數，可依照實驗三法針對自己的需求向所屬學校提出自學申請，自主安排學習時間，成績計算方式等等，已有符合此需求的現行方案可以使用，且多數學生尚在探索階段，較缺乏自控力和主動性，學校正式課程的環境反而更有助於多元興趣的探索和發展。 

說白了，學生自己知道想十點上課的原因是什麼，我們自己也當過學生，我相信一定有學生是真的認真規劃讀書和發展興趣能力，但大多數的難道不是想少待在學校幾個小時，在這段時間真的有在做事而不是滑手機打遊戲的人又有幾個。",2025-09-17 09:38:48,其他想法,0,1
